,category,count_legit,count_all,normalized
169,Fitness & Instruction,3,1252,0.0023961661341853034
170,Gas Stations,3,2570,0.0011673151750972762
171,Hookah Bars,3,7239,0.0004144218814753419
172,Malaysian,3,7622,0.00039359748097612176
173,Wedding Planning,3,5348,0.0005609573672400897
174,Food Court,3,5683,0.0005278901988386416
175,Car Dealers,3,4162,0.0007208073041806823
176,Local Services,3,4073,0.0007365578197888534
177,Hair Salons,3,4283,0.0007004436142890498
178,Fondue,2,6675,0.000299625468164794
179,Beer Garden,2,1889,0.0010587612493382743
180,Gyms,2,701,0.0028530670470756064
181,Pool Halls,2,4532,0.000441306266548985
182,Supper Clubs,2,469,0.0042643923240938165
183,Wineries,2,2470,0.0008097165991902834
184,Yoga,2,815,0.00245398773006135
185,Professional Services,2,3898,0.000513083632632119
186,Izakaya,2,4449,0.0004495392222971454
187,Pan Asian,2,6323,0.0003163055511624229
188,Cinema,2,5693,0.0003513086246267346
189,Amusement Parks,2,7412,0.0002698327037236913
190,Employment Agencies,2,2518,0.0007942811755361397
191,Nutritionists,2,1095,0.0018264840182648401
192,Cambodian,2,1956,0.0010224948875255625
193,Chocolatiers & Shops,2,8830,0.00022650056625141563
194,Poutineries,2,9481,0.00021094821221390148
195,Performing Arts,2,7304,0.0002738225629791895
196,Champagne Bars,2,1139,0.001755926251097454
197,Massage,2,1551,0.0012894906511927789
198,Venezuelan,2,3435,0.0005822416302765648
199,Afghan,2,5518,0.0003624501631025734
200,Kebab,2,4270,0.000468384074941452
201,Tuscan,2,1749,0.0011435105774728416
202,Hobby Shops,1,616,0.0016233766233766235
203,Botanical Gardens,1,1701,0.0005878894767783657
204,Cafeteria,1,1675,0.0005970149253731343
205,Handyman,1,38,0.02631578947368421
206,Arcades,1,10083,9.917683229197659e-05
207,Education,1,3280,0.0003048780487804878
208,Sports Clubs,1,382,0.002617801047120419
209,Outlet Stores,1,1939,0.0005157297576070139
210,Cooking Schools,1,808,0.0012376237623762376
211,Seafood Markets,1,6516,0.0001534683855125844
212,Scandinavian,1,1545,0.0006472491909385113
213,General Dentistry,1,272,0.003676470588235294
214,Beverage Store,1,1175,0.000851063829787234
215,Financial Services,1,203,0.0049261083743842365
216,Fashion,1,4240,0.0002358490566037736
217,Dentists,1,317,0.0031545741324921135
218,Salvadoran,1,2529,0.00039541320680110717
219,Martial Arts,1,40,0.025
220,Speakeasies,1,1049,0.0009532888465204957
221,Indonesian,1,1621,0.0006169031462060457
222,Antiques,1,801,0.0012484394506866417
223,Flowers & Gifts,1,4260,0.00023474178403755868
224,Party Supplies,1,334,0.0029940119760479044
225,Transmission Repair,1,75,0.013333333333333334
226,Sri Lankan,1,697,0.0014347202295552368
227,Hospitals,1,225,0.0044444444444444444
228,Bistros,1,6235,0.00016038492381716118
229,Dinner Theater,1,1222,0.0008183306055646482
230,Eatertainment,1,2389,0.0004185851820845542
231,Peruvian,1,7364,0.00013579576317218902
232,Vape Shops,1,58,0.017241379310344827
233,Gift Shops,1,1468,0.0006811989100817438
234,Piano Bars,1,2183,0.0004580852038479157
235,Wigs,1,530,0.0018867924528301887
236,Barbers,1,1261,0.0007930214115781126
237,Hakka,1,1146,0.0008726003490401396
238,Tabletop Games,1,607,0.0016474464579901153
239,Doctors,1,443,0.002257336343115124
240,Couriers & Delivery Services,1,611,0.0016366612111292963
241,Herbs & Spices,1,1543,0.0006480881399870382
242,Shanghainese,1,795,0.0012578616352201257
243,Skin Care,1,866,0.0011547344110854503
244,Burmese,1,544,0.001838235294117647
245,Religious Organizations,1,698,0.0014326647564469914
246,Banks & Credit Unions,1,8,0.125
247,Custom Cakes,1,4420,0.00022624434389140272
248,Dominican,1,636,0.0015723270440251573
249,Weight Loss Centers,1,299,0.0033444816053511705
250,Trainers,1,135,0.007407407407407408
251,Pediatricians,1,163,0.006134969325153374
252,Brewpubs,1,6151,0.00016257519102584944
253,Singaporean,1,4496,0.00022241992882562276
254,Home Services,1,3437,0.0002909514111143439
255,Strip Clubs,1,245,0.004081632653061225
256,Guamanian,1,406,0.0024630541871921183
257,Emergency Medicine,1,163,0.006134969325153374
258,Organic Stores,1,4481,0.0002231644722160232
259,Russian,1,3242,0.00030845157310302283
260,Acai Bowls,1,4370,0.0002288329519450801
261,Ticket Sales,1,241,0.004149377593360996
262,Laotian,1,4633,0.0002158428663932657
263,Auto Repair,1,194,0.005154639175257732
264,Japanese Curry,1,2577,0.00038804811796662784
265,Department Stores,1,1493,0.0006697923643670462
266,Gay Bars,1,1015,0.0009852216748768472
267,Tours,1,1316,0.0007598784194528875
268,Pasta Shops,1,6061,0.00016498927569707968
269,Egyptian,1,1089,0.0009182736455463728
270,Cardiologists,1,163,0.006134969325153374
271,Travel Services,1,135,0.007407407407407408
272,Trinidadian,1,252,0.003968253968253968
273,Public Markets,1,550,0.0018181818181818182
274,Brazilian Jiu-jitsu,1,28,0.03571428571428571
275,Spiritual Shop,1,170,0.0058823529411764705
276,Tires,1,164,0.006097560975609756
277,Painters,1,18,0.05555555555555555
278,Vitamins & Supplements,1,239,0.0041841004184100415
279,Specialty Schools,1,1147,0.0008718395815170009
280,Candy Stores,1,4244,0.000235626767200754
281,Kosher,1,5680,0.00017605633802816902
282,Drywall Installation & Repair,1,18,0.05555555555555555
283,Wholesale Stores,1,630,0.0015873015873015873
