,category,c_neg,count_all,normalized
108,Beer Gardens,25,11993,0.20845493204369214
109,Donairs,3,1455,0.2061855670103093
110,Tex-Mex,115,57561,0.19978805093726656
111,Greek,150,75500,0.1986754966887417
112,Local Services,8,4073,0.1964154186103609
113,Asian Fusion,465,240279,0.19352502715593123
114,Caribbean,57,29700,0.1919191919191919
115,Peruvian,14,7364,0.19011406844106463
116,New Mexican Cuisine,38,20053,0.18949783074851645
117,Russian,6,3242,0.1850709438618137
118,Hot Pot,19,10289,0.18466323257848188
119,Public Markets,1,550,0.18181818181818182
120,Food Stands,25,13849,0.1805184489854863
121,Jewelry,1,555,0.18018018018018017
122,Food Delivery Services,74,42093,0.17580120210011166
123,Vegetarian,252,147302,0.17107710689603672
124,Puerto Rican,3,1777,0.16882386043894204
125,Modern European,26,15546,0.1672455937218577
126,Spanish,43,25755,0.16695787225781403
127,Sushi Bars,422,254215,0.1660012194402376
128,Pasta Shops,10,6061,0.1649892756970797
129,Tabletop Games,1,607,0.16474464579901155
130,Irish,35,21487,0.16288918881183972
131,Restaurants,6736,4201684,0.16031667302919494
132,Dominican,1,636,0.15723270440251574
133,Mediterranean,214,139385,0.1535315851777451
134,Street Vendors,24,15666,0.15319800842589046
135,Hookah Bars,11,7239,0.15195468987429203
136,Cajun/Creole,59,38866,0.15180363299542018
137,Dive Bars,29,19649,0.14759020815308668
138,Patisserie/Cake Shop,11,7877,0.13964707375904534
139,Buffets,180,132053,0.1363089062724815
140,Delis,130,95433,0.13622122326658492
141,Bubble Tea,27,20250,0.13333333333333333
142,Italian,517,392125,0.1318457124641377
143,Barbeque,228,173000,0.13179190751445088
144,Turkish,10,7888,0.12677484787018256
145,Caterers,177,139681,0.12671730586121233
146,Zoos,2,1590,0.12578616352201258
147,Food,1425,1133172,0.1257531954548824
148,Irish Pub,11,8890,0.12373453318335209
149,Food Trucks,29,23488,0.12346730245231607
150,Food Court,7,5683,0.12317437972901636
151,Bakeries,157,128034,0.12262367808550853
152,Shopping,46,37654,0.12216497583258086
153,Education,4,3280,0.12195121951219512
154,Wineries,3,2470,0.12145748987854252
155,Cheese Shops,9,7454,0.12074054199087737
156,Cafeteria,2,1675,0.11940298507462686
157,Employment Agencies,3,2518,0.11914217633042098
158,Seafood,407,343191,0.11859285354219662
159,Candy Stores,5,4244,0.11781338360037699
160,Brazilian,20,17525,0.11412268188302425
161,Gluten-Free,113,100096,0.11289162404092071
162,Tea Rooms,18,16137,0.11154489682097045
163,African,12,10875,0.1103448275862069
164,British,25,22912,0.10911312849162011
165,Gelato,7,6433,0.1088139281828074
166,Swimming Pools,2,1856,0.10775862068965517
167,Smokehouse,10,9338,0.10708931248661384
168,Convenience Stores,4,3746,0.10678056593699946
169,Party & Event Planning,13,12207,0.10649627263045794
170,Vegan,120,112716,0.10646225912913873
171,Beer Bar,56,52659,0.10634459446628307
172,Kosher,6,5680,0.10563380281690139
173,Cheesesteaks,18,17165,0.10486454995630642
174,Hawaiian,48,46450,0.10333692142088267
175,Mongolian,6,5876,0.10211027910142954
176,Karaoke,18,18090,0.09950248756218905
177,Gay Bars,1,1015,0.09852216748768472
178,Delicatessen,4,4065,0.09840098400984008
179,Shaved Ice,5,5090,0.09823182711198428
180,Belgian,6,6157,0.0974500568458665
181,Tapas Bars,47,48276,0.09735686469467231
182,Hot Dogs,40,41102,0.09731886526203105
183,Adult Entertainment,4,4137,0.09668842156151801
184,Tennis,1,1036,0.09652509652509653
185,Desserts,188,195964,0.09593598824273847
186,Automotive,11,11512,0.09555246699096595
187,Teppanyaki,7,7369,0.09499253630071923
188,Kitchen & Bath,1,1057,0.0946073793755913
189,Kebab,4,4270,0.09367681498829039
190,Hair Salons,4,4283,0.09339248190520663
191,Fast Food,214,230464,0.09285615106914746
